repository,description,fork,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,license,forks,open_issues,watchers,default_branch,subscribers_count,g4,rt
linkedin/rest.li,"Rest.li is a REST+JSON framework for building robust, scalable service architectures using dynamic discovery and simple asynchronous APIs.",False,2012-11-30T19:37:51Z,2019-12-14T04:32:01Z,2019-12-05T21:34:30Z,19425,1999,1999,Java,True,True,True,True,True,401,27,Other,401,27,1999,master,198,2,5.0
linqs/psl,The PSL software from the University of Maryland and the University of California Santa Cruz,False,2011-07-29T20:24:30Z,2019-12-14T11:21:08Z,2019-12-06T20:58:42Z,6447,229,229,Java,True,True,True,True,False,83,46,Apache License 2.0,83,46,229,master,51,1,3.0
lmcgrath/scotch-lang,,False,2014-11-29T05:28:45Z,2019-08-13T15:56:37Z,2015-05-18T21:53:01Z,2664,13,13,Java,True,True,True,True,True,4,0,,4,0,13,master,7,2,10.0
locationtech/geowave,"GeoWave provides geospatial and temporal indexing on top of Accumulo, HBase, BigTable, Cassandra, and DynamoDB",False,2014-06-03T15:39:29Z,2019-12-12T22:19:54Z,2019-12-13T22:00:46Z,893941,363,363,Java,True,False,True,True,True,159,57,Apache License 2.0,159,57,363,master,70,1,2.0
lockss/lockss-daemon,The central repository for the LOCKSS project ,False,2016-01-13T06:06:33Z,2019-12-14T00:02:13Z,2019-12-14T00:02:11Z,1028023,18,18,Java,True,True,True,True,False,10,4,Other,10,4,18,master,20,4,4.0
logic-ng/LogicNG,The Next Generation Logic Library,False,2015-10-29T09:04:40Z,2019-11-25T15:00:32Z,2019-11-19T10:45:30Z,5543,33,33,Java,True,True,True,True,False,8,3,Apache License 2.0,8,3,33,master,8,2,5.0
marcelganczak/swift-js-transpiler,Swift 3 to JavaScript/TypeScript/Java Transpiler. Built with antlr4. With live preview.,False,2016-12-18T17:01:55Z,2019-12-03T20:14:36Z,2018-03-22T14:39:55Z,6047,40,40,Java,True,True,True,True,False,5,2,MIT License,5,2,40,master,3,2,20.0
maskarade/Android-Orma,An ORM for Android with type-safety and painless smart migrations,False,2015-11-09T00:26:20Z,2019-12-07T14:10:30Z,2018-12-03T12:55:31Z,3823,439,439,Java,True,True,True,False,True,49,23,Other,49,23,439,master,32,1,2.0
melin/bigdata-sql-parser,"基于antlr4 解析器，支持spark sql, tidb sql, flink sql, Spark/flink jar 运行命令解析器",False,2018-07-12T01:28:59Z,2019-12-13T09:39:50Z,2019-11-26T10:17:42Z,789,32,32,Java,True,True,True,True,False,15,0,,15,0,32,master,8,6,25.0
meridor/perspective-backend,Scalable multi-cloud management API and shell,False,2015-03-22T20:11:00Z,2019-05-26T02:42:49Z,2017-02-28T04:53:39Z,2264,13,13,Java,True,True,True,True,False,5,42,Apache License 2.0,5,42,13,master,2,4,3.0
merrymercy/compiler2017,"A compiler for the course Compiler 2017 at ACM Class, SJTU.  ",False,2017-06-22T03:36:06Z,2019-12-12T05:40:26Z,2018-05-26T18:07:59Z,3241,48,48,Java,True,True,True,True,False,10,1,,10,1,48,master,5,1,8.0
metadave/contact,Contact is a language and interactive shell for Riak.,False,2013-02-12T21:01:22Z,2017-07-19T19:42:30Z,2014-01-01T14:55:47Z,9770,15,15,Java,True,True,True,True,True,1,0,Apache License 2.0,1,0,15,master,5,1,9.0
metadave/etp,An Erlang Term Parser for Java,False,2013-04-18T15:23:08Z,2019-04-12T07:32:34Z,2018-05-04T21:01:20Z,1236,14,14,Java,True,True,True,True,True,4,0,,4,0,14,master,2,1,7.0
michel-kraemer/citeproc-java, A Citation Style Language (CSL) processor for Java.,False,2013-09-06T17:54:04Z,2019-12-14T11:25:17Z,2019-12-14T11:25:14Z,2524,57,57,Java,True,False,True,False,True,13,1,Apache License 2.0,13,1,57,master,6,2,2.0
mike-lischke/vscode-antlr4,ANTLR4 language support for Visual Studio Code,False,2016-09-07T13:49:30Z,2019-12-10T00:33:50Z,2019-11-27T14:32:01Z,18338,131,131,ANTLR,True,False,True,False,False,17,13,MIT License,17,13,131,master,12,14,0.0
mir1128/kafkasql,,False,2019-06-04T13:43:53Z,2019-07-18T11:39:18Z,2019-06-21T02:20:06Z,591,13,13,Java,True,True,True,True,False,2,0,Apache License 2.0,2,0,13,master,2,1,18.0
